,id,epoch_second,problem_id,contest_id,user_id,language,point,length,result,execution_time
204,21867996,1618751464,arc117_a,arc117,aozorarb,C++ (GCC 9.2.1),0.0,471,CE,
205,21868049,1618751502,arc117_a,arc117,aozorarb,C++ (GCC 9.2.1),0.0,471,CE,
206,21868088,1618751527,arc117_a,arc117,aozorarb,C++ (GCC 9.2.1),0.0,461,RE,153.0
207,21911418,1618923462,abc064_a,abc064,aozorarb,C++ (GCC 9.2.1),0.0,219,CE,
208,21911461,1618923543,abc064_a,abc064,aozorarb,C++ (GCC 9.2.1),0.0,219,CE,
209,21911493,1618923596,abc064_a,abc064,aozorarb,C++ (GCC 9.2.1),100.0,220,AC,5.0
210,21911684,1618923947,abc088_a,abc088,aozorarb,C++ (GCC 9.2.1),100.0,203,AC,5.0
211,21911775,1618924136,abc157_a,abc157,aozorarb,C++ (GCC 9.2.1),0.0,88,CE,
212,21911855,1618924268,abc157_a,abc157,aozorarb,C++ (GCC 9.2.1),0.0,179,WA,3.0
213,21912095,1618924665,abc157_a,abc157,aozorarb,C++ (GCC 9.2.1),100.0,174,AC,9.0
214,21912294,1618925000,abc081_a,abc081,aozorarb,C++ (GCC 9.2.1),0.0,210,WA,10.0
215,21912386,1618925136,abc081_a,abc081,aozorarb,C++ (GCC 9.2.1),0.0,210,CE,
216,21912427,1618925201,abc081_a,abc081,aozorarb,C++ (GCC 9.2.1),100.0,211,AC,6.0
217,21912686,1618925583,abc095_a,abc095,aozorarb,C++ (GCC 9.2.1),0.0,195,WA,9.0
218,21912709,1618925621,abc095_a,abc095,aozorarb,C++ (GCC 9.2.1),100.0,195,AC,9.0
219,21912833,1618925837,abc085_a,abc085,aozorarb,C++ (GCC 9.2.1),0.0,180,CE,
220,21912846,1618925855,abc085_a,abc085,aozorarb,C++ (GCC 9.2.1),0.0,181,WA,4.0
221,21912861,1618925877,abc085_a,abc085,aozorarb,C++ (GCC 9.2.1),0.0,183,WA,3.0
222,21912887,1618925916,abc085_a,abc085,aozorarb,C++ (GCC 9.2.1),0.0,183,WA,7.0
223,21912912,1618925949,abc085_a,abc085,aozorarb,C++ (GCC 9.2.1),100.0,183,AC,8.0
224,21913211,1618926424,abc069_b,abc069,aozorarb,Ruby (2.7.1),0.0,89,RE,65.0
225,21913245,1618926473,abc069_b,abc069,aozorarb,Ruby (2.7.1),0.0,86,RE,67.0
226,21913304,1618926560,abc069_b,abc069,aozorarb,Ruby (2.7.1),0.0,71,RE,67.0
227,21913452,1618926788,abc069_b,abc069,aozorarb,C++ (GCC 9.2.1),0.0,205,CE,
228,21913467,1618926815,abc069_b,abc069,aozorarb,C++ (GCC 9.2.1),0.0,203,WA,8.0
229,21913661,1618927164,abc069_b,abc069,aozorarb,C++ (GCC 9.2.1),200.0,214,AC,7.0
230,21952056,1619095601,abc081_b,abc081,aozorarb,C++ (GCC 9.2.1),0.0,297,TLE,2205.0
231,21952090,1619095697,abc081_b,abc081,aozorarb,C++ (GCC 9.2.1),0.0,344,CE,
232,21952097,1619095716,abc081_b,abc081,aozorarb,C++ (GCC 9.2.1),0.0,341,WA,6.0
233,21952110,1619095758,abc081_b,abc081,aozorarb,C++ (GCC 9.2.1),0.0,351,CE,
234,21952116,1619095777,abc081_b,abc081,aozorarb,C++ (GCC 9.2.1),0.0,354,WA,6.0
235,21952136,1619095815,abc081_b,abc081,aozorarb,C++ (GCC 9.2.1),0.0,357,WA,7.0
236,21971757,1619185149,abc081_b,abc081,aozorarb,C++ (GCC 9.2.1),200.0,380,AC,8.0
237,21972271,1619186549,abc068_b,abc068,aozorarb,C++ (GCC 9.2.1),0.0,356,CE,
238,21972293,1619186614,abc068_b,abc068,aozorarb,C++ (GCC 9.2.1),0.0,356,WA,7.0
239,21972460,1619187068,abc068_b,abc068,aozorarb,C++ (GCC 9.2.1),0.0,355,WA,10.0
240,21972892,1619188335,abc068_b,abc068,aozorarb,C++ (GCC 9.2.1),0.0,388,WA,4.0
241,21973664,1619191580,abc087_b,abc087,aozorarb,C++ (GCC 9.2.1),0.0,287,WA,2205.0
242,21973741,1619191938,abc087_b,abc087,aozorarb,C++ (GCC 9.2.1),0.0,352,WA,2205.0
